(-1.5349798444995466, -14.107741060467799, 12.075757789553865)	14.7	39.3
(-1.1861235168828204, -14.055906070194153, -4.216477913391177)	9.62	32.0
(-0.8299480058722795, -14.119928923805821, -31.931833186666935)	3.27	35.2
(-0.6127140576800003, -14.352274813966964, -71.92981720225832)	4.54	45.3
(-0.5014515795352796, -14.716400809020325, -85.12083932847679)	3.24	35.7
(-0.5041029904626271, -15.08382156269997, -98.22129813572354)	14.6	52.5
(-0.6048709504285212, -15.419051868748443, -124.57924563102719)	2.91	36.7
(-0.9033575712933244, -15.659898883638641, -153.41545176498934)	2.60	47.3
(-1.2393377804850454, -15.817357130250961, -152.61511999972834)	2.51	46.1
(-1.3301819005488391, -15.917483756817429, -142.06962185187183)	2.94	193
(-1.3301819005488387, -15.917483756817429, -142.06962185187183)	3.30	40.9
(-1.3301819005488391, -15.917483756817429, -142.06962185187183)	1.51	40.5
(-1.3301819005488391, -15.917483756817429, -142.06962185187183)	4.01	38.7
(-1.3301819005488396, -15.917483756817429, -142.06962185187183)	3.32	43.6
(-1.3301819005488391, -15.917483756817429, -142.06962185187183)	3.47	37.2
(-1.3301819005488391, -15.917483756817429, -142.06962185187183)	1.32	39.3
(-1.3301819005488391, -15.917483756817429, -142.06962185187183)	3.19	47.0
(-1.3301819005488391, -15.917483756817429, -142.06962185187183)	4.45	51.4
(-1.3301819005488396, -15.917483756817429, -142.06962185187183)	3.83	30.2
(-1.3780690633478905, -15.94450284846075, -132.30127187092089)	2.50	48.7
(-1.3802629333350942, -15.937016847421159, -122.53922059146373)	5.18	37.4
(-1.3804242512019278, -15.939126891211288, -122.56996811941809)	3.96	52.5
(-1.4192188948288145, -16.03538480163811, -77.98902951197906)	4.69	39.3
(-1.3072094827468197, -16.415073482910074, -63.26220297503709)	6.56	38.7
(-1.1315538742245268, -16.754591612441537, -64.61697020542628)	5.78	41.2
(-0.860475719221407, -17.067777047971056, -16.897174459470854)	3.40	44.7
(-0.4593763121140726, -17.08999940661128, 8.265841308814512)	4.48	39.1
(-0.09697921929916342, -16.99897086154994, 28.30093238535244)	1.90	44.8
(0.2224122257247787, -16.81326868568084, 18.293451174032505)	3.29	45.2
(0.5841139898195573, -16.856823878439346, -41.42863826362554)	2.78	47.4
(0.7611088889189865, -17.132072357311635, -59.29948245271281)	2.87	34.5
(0.9815776792784225, -17.46112563120887, -56.294122240605496)	1.57	43.8
(1.2332971589870132, -17.80233032381602, -55.66817182802451)	3.47	43.2
(1.4467446289046588, -18.11790372223561, -55.515216839376656)	2.94	38.0
(1.6714168049538873, -18.438252533039183, -55.372314060527934)	2.93	38.7
(1.8772048230019438, -18.758848616251647, -55.37020460171899)	1.36	45.7
(2.084031510605791, -19.086147646195222, -57.8976003063629)	3.24	37.4
(2.2905658097472545, -19.40562152805979, -57.987937278970946)	4.40	40.7
(2.4951362603931857, -19.73889061280434, -57.261646897123185)	2.42	43.4
(2.658619925799015, -19.98785940248066, -56.86776085363917)	5.46	33.9
(2.6584249150886095, -19.98799554805426, -56.96635216175455)	3.89	40.7
(2.6164794933038884, -19.934075820964786, -59.05706334537247)	2.99	42.7
(2.4844295975737074, -19.70540234946681, -54.44033755681025)	3.27	38.3
(2.3437685211032147, -19.502575779690154, -53.082329340187684)	3.07	41.8
(2.2598217269963863, -19.277092671355746, -57.17038207060017)	3.37	39.7
(2.1017984832265055, -19.067725872509925, -54.46914470202771)	3.85	44.7
(1.9340737000954196, -18.870137172202902, -44.43082242408149)	3.40	52.0
(1.7316772666652946, -18.65697479357023, -56.9223225456424)	3.44	45.3
(1.672341380580077, -18.589074671737556, -105.16828516775895)	3.45	38.6
(1.6410242855217048, -18.593838199130506, -159.9887411775061)	3.50	37.4
(1.2747558106466128, -18.53921208926375, -178.92833527232779)	5.33	38.6
(0.8768061923358106, -18.6257901340159, -157.4239704144062)	4.16	30.3
(0.5597597802566567, -18.79750635503337, -135.5719259859418)	1.40	35.6
(0.35627636416103137, -19.146691208861263, -95.11973566101709)	3.02	38.7
(0.378621244934255, -19.52073207270004, -66.2236140527458)	3.34	44.3
(0.5509157810178356, -19.91716781717384, -56.26720723024073)	1.84	18.8
(0.771912477748498, -20.23177749891363, -55.06560068067515)	1.82	39.7
(0.9713171651517456, -20.571253984103944, -63.77306632035809)	3.35	36.6
